ServiceTag,product,new_appgroup,node,产品线,hostname,IP,OS,装机模版,机型,机房,包间,机柜编号,机位,机柜位置,ASW编号,所有产品,节点数量,节点配置,区域,service,serviceInstanceNo,runtimeResourceLimit,region
sn_69804,tianji,,shennongportalDB,,,,,,docker,,,,,,,,,,,shennongportal,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_71256,ecs,,cloud-cmdb-new,,,,,,docker,,,,,,,,,,,luorigong,1,"{""mem_limit"":""2014M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_30489,oss,,controller,,,,,,docker,,,,,,,,,,,ocm,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_12569,oss,,controller,,,,,,docker,,,,,,,,,,,ocm,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_43601,webapp,,oam-service-aliyun-com,,,,,,docker,,,,,,,,,,,oam,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_79834,webapp,,oam-service-aliyun-com,,,,,,docker,,,,,,,,,,,oam,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_52038,dtdream,,secureconsole,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_97613,dtdream,,secureconsole,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_75634,ecs,,tair_configserver_1,,,,,,docker,,,,,,,,,,,houyi,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_39408,ecs,,tair_configserver_2,,,,,,docker,,,,,,,,,,,houyi,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_81356,rds,,rds_test_mysql,,,,,,docker,,,,,,,,,,,yaochi,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_07382,middleWare,,zk-init,,,,,,docker,,,,,,,,,,,zookeeper,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_28407,webapp,,oam-service-aliyun-com-init,,,,,,docker,,,,,,,,,,,oam,1,"{""mem_limit"":""1024M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_41723,yundun,,cactus-test,,,,,,docker,,,,,,,,,,,cactus,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_72460,baseService,,resource_service,,,,,,docker,,,,,,,,,,,resource-service,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_50976,baseService,,resource_service,,,,,,docker,,,,,,,,,,,resource-service,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_23907,ecs,,luorigong-2,,,,,,docker,,,,,,,,,,,luorigong,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_30927,baseService,,aliyunid_appaccess,,,,,,docker,,,,,,,,,,,umm-ak,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_83261,baseService,,aliyunid_appaccess,,,,,,docker,,,,,,,,,,,umm-ak,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_24305,ecs,,ecs-big-ag,,,,,,docker,,,,,,,,,,,luorigong,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_58916,middleWare,,vipserver,,,,,,docker,,,,,,,,,,,jmenvDiamondVips,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_45306,middleWare,,vipserver,,,,,,docker,,,,,,,,,,,jmenvDiamondVips,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_63274,tianji,,alertportalWEB,,,,,,docker,,,,,,,,,,,alertportal,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_54069,tianji,,alertportalWEB,,,,,,docker,,,,,,,,,,,alertportal,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_05274,tianji,,tianjimon-db-init,,,,,,docker,,,,,,,,,,,tianjimon,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_90731,dtdream,,uim,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
